chat_id,user_id,message_date,first_name,second_name,nickname,lang,question,answer,
2,2,17.03.2021 20:58,В,В,2,ru,"Что надо делать, чтобы снизить риск заболевания?","Держите руки в чистоте, часто мойте их водой с мылом или используйте дезинфицирующее средство. Старайтесь не касаться рта, носа или глаз немытыми руками (обычно такие прикосновения неосознанно свершаются нами в среднем 15 раз в час). Используйте маски. На работе регулярно очищайте поверхности и устройства, к которым вы прикасаетесь (клавиатура компьютера, панели оргтехники общего использования, экран смартфона, пульты, дверные ручки и поручни). Носите с собой одноразовые салфетки и всегда прикрывайте нос и рот, когда вы кашляете или чихаете. Не ешьте еду (орешки, чипсы, печенье и другие снеки) из общих упаковок или посуды, если другие люди погружали в них свои пальцы. Часто проветривайте помещения. Если вы обнаружили симптомы, схожие с теми, которые вызывает коронавирус, оставайтесь дома и вызывайте врача.",
2,2,17.03.2021 21:00,В,В,2,ru,А каковы симптомы?,"К наиболее распространенным симптомам COVID-19 относятся: Повышенная температура, лихорадка,   утомляемость, сухой кашель,  затрудненное дыхание. К другим, менее распространенным симптомам, которые встречаются у ряда пациентов, относятся: Утрата обоняния или вкусовых ощущений, боль в мышцах или суставах, заложенность носа, головная боль.",
2,2,17.03.2021 21:02,В,В,2,ru,"Заразен ли человек, если он болеет бессимптомно?","Болеют все. Кто-то меньше (дети), а кто-то больше (старшее поколение).",
2,2,17.03.2021 21:03,В,В,2,ru,Как передаётся коронавирус?,Существует три основных метода тестирования. ПЦР-тест. Экспресс-тест ПЦР. Тест на антитела.,
2,2,17.03.2021 21:04,В,В,2,ru,Зачем нужен тест на антитела?,"Антитела — это белки, вырабатываемые иммунной системой в ответ на проникновение возбудителя. Именно по ним определяют стадию развития инфекции. Также по ним  контролируют течение заболевания.",
2,2,17.03.2021 21:07,В,В,2,ru,Возможно ли заболеть повторно?,"Теоретически человек может заболеть COVID-19 второй раз, но сейчас эту идею разделяют далеко не все.",
2,2,17.03.2021 21:09,В,В,2,ru,Сколько стоит тест на коронавирус?,"В поликлинике по месту жительства тест на коронавирус можно сдать бесплатно, стоимость в частной клинике теста на COVID-19 варьируется от выбранного метода тестирования.",
2,2,17.03.2021 21:12,В,В,2,ru,Ок и через сколько будут готовы результаты?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
2,2,17.03.2021 21:13,В,В,2,ru,Существует ли прививка от короновируса?,"Существует три вакцины против COVID?19, одобренные к использованию национальными регулирующими органами",
2,2,17.03.2021 21:14,В,В,2,ru,"Нужно ли ставить прививку, чтобы выехать заграницу?",Заболеть может каждый. Поставить вакцину - личный выбор.,
2,2,17.03.2021 21:16,В,В,2,ru,Насколько безопасна вакцина?,"В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
2,2,17.03.2021 21:17,В,В,2,ru,С какого возраста можно ставить прививку?,Вакцина от коронавируса рассчитана на людей в возрасте от 18 до 60 лет.,
2,2,17.03.2021 21:19,В,В,2,ru,Возможно ли самолечение?,Лечение назначает врач в зависимости от симптомов в соответствии с российскими и международными рекомендациями. Самолечение противопоказано.,
3,3,16.03.2021 22:11,Д,С,3,ru,Привет,Доброго времени суток! Отправьте мне вопрос в окне чата и я дам вам информацию о новой коронавирусной инфекции.,
3,3,16.03.2021 22:12,Д,С,3,ru,Какая Статистика заболеваний?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
3,3,16.03.2021 22:14,Д,С,3,ru,Какие признаки забеливаний короновирусом?,"К наиболее распространенным симптомам COVID-19 относятся: Повышенная температура, лихорадка,   утомляемость, сухой кашель,  затрудненное дыхание. К другим, менее распространенным симптомам, которые встречаются у ряда пациентов, относятся: Утрата обоняния или вкусовых ощущений, боль в мышцах или суставах, заложенность носа, головная боль.",
3,3,16.03.2021 22:16,Д,С,3,ru,Что мне делать при признаках короновируса?,"Если есть подозрения на COVID-19, необходимо позвонить  в районную поликлинику или на  единую горячую линию COVID-19 по номеру: 8-800-2000-112",
3,3,16.03.2021 22:16,Д,С,3,ru,Окей. Можно ли переболеть второй раз?,"Теоретически человек может заболеть COVID-19 второй раз, но сейчас эту идею разделяют далеко не все.",
3,3,16.03.2021 22:19,Д,С,3,ru,Где можно поставить вакцину от короновируса?,Прививки ставят бесплатно по полису обязательного медстрахования. Вакцину вводят в два этапа с интервалом в три недели. Записаться на вакцинацию можно в вашей поликлинике или на сайте «Госуслуги»,
3,3,16.03.2021 22:20,Д,С,3,ru,Понял. Расскажи про антитела,"Серологический тест (ELISA)  определяет наличие в крови антител, выработанных иммунной системой в борьбе с вирусом. Для их проведения необходимо взять пробу крови, которая затем пройдет лабораторный анализ.",
3,3,16.03.2021 22:21,Д,С,3,ru,От куда прошло заражение?,"COVID-19 — заболевание, вызываемое новым коронавирусом, который называется SARS-CoV-2. ВОЗ впервые узнала об этом новом вирусе ВОЗ 31 декабря 2019 г., получив сообщение о группе случаев заболевания «вирусной пневмонией» в городе Ухане, Китайская Народная Республика.",
3,3,16.03.2021 22:22,Д,С,3,ru,Сколько дней проходит карантин?,"Карантин длится 14 дней с момента пересечения границы или с даты контакта с заболевшим новой коронавирусной инфекцией.С 15 июля иностранцы и граждане РФ, прибывающие в Россию регулярными рейсами, могут не соблюдать обязательный режим изоляции в течение двух недель. Теперь достаточно сдать анализ на COVID-19 — и карантин не понадобится.",
3,3,16.03.2021 22:24,Д,С,3,ru,Что по поводу ограничения при коронавирусной инфекции,"Режим самоизоляции необходимо соблюдать вам и людям, проживающим вместе с вами. Риск инфицирования членов семьи снижается, если соблюдать основные гигиенические требования — использовать маску, индивидуальную посуду, часто мыть руки и пользоваться кожными антисептиками, регулярно проветривать помещения.",
4,4,17.03.2021 21:30,В,К,4,ru,Привет,Приветствую! Отправьте мне вопрос в окне чата и я дам вам информацию о новой коронавирусной инфекции.,
4,4,17.03.2021 21:31,В,К,4,ru,Какой темп роста заражения ?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
4,4,17.03.2021 21:32,В,К,4,ru,Какие страны лидируют по заражению ?,Данная информация постоянно обновляется. Можно ознакомиться тут: https://samokatus.ru/karta-otrkytyh-granits/,
4,4,17.03.2021 21:34,В,К,4,ru,Какие страны лидеры в разработке вакцины ?,"Эксперты ВОЗ говорили, что будут считать успешной любую вакцину, эффективность которой превысит 70%. Американские власти сообщали о готовности закупать препараты, дающие хотя бы 50-процентую защиту от вируса (примерно такую эффективность имеет вакцина от гриппа). В Европейском медицинском агентстве намекали, что готовы рассмотреть даже менее эффективные препараты.",
4,4,17.03.2021 21:36,В,К,4,ru,Думаешь ставить вакцину безопасно?,"Среди противопоказаний для лиц с хроническими заболеваниями — их обострения. Чтобы привиться, нужно пройти терапию и выйти в состояние ремиссии. Также нельзя прививаться при острых состояниях — насморке, температуре и прочем. Если после введения первой дозы были осложнения, то вторую вам никто не сделает.",
4,4,17.03.2021 21:39,В,К,4,ru,Дак вакцина безопасна?,"В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
4,4,17.03.2021 21:40,В,К,4,ru,Сколько она будет действовать ?,Прививка может дать защиту до двух лет.,
4,4,17.03.2021 21:41,В,К,4,ru,И когда мне следует вводить вторую дозу?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
4,4,17.03.2021 21:41,В,К,4,ru,По ссылке статистика. Меня интересует второй этап вакцинации.,"По норме должен пройти 21 день, потому что вам ввели антиген. Иммунный ответ идет бурно, а потом опускается на плато, восстанавливается система выработки иммунитета. Ставить вторую дозу вакцины раньше установленного в 21 день срока не стоит — например, через две недели иммунитет ослаблен. Если привиться позже срока, например, через месяц, вреда для организма будет меньше. Заново начинать вакцинацию не придется.",
4,4,17.03.2021 21:43,В,К,4,ru,Воооот. В каких странах сейчас неблагополучная ситуация ?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
4,4,17.03.2021 21:45,В,К,4,ru,Можно ездить отдыхать ?,Данная информация постоянно обновляется. Можно ознакомиться тут: https://samokatus.ru/karta-otrkytyh-granits/,
,,,,,,,,,
5,5,17.03.2021 22:03,А,М,5,ru,Всегда ли ты принимаешь меры защиты от пандемии?,"Самое важное, что можно сделать, чтобы защитить себя, — это соблюдать правила личной гигиены и сократить посещения общественных и людных мест. Держите руки в чистоте, часто мойте их водой с мылом или используйте дезинфицирующее средство. Старайтесь не касаться рта, носа или глаз немытыми руками (обычно такие прикосновения неосознанно свершаются нами в среднем 15 раз в час). На работе регулярно очищайте поверхности и устройства, к которым вы прикасаетесь (клавиатура компьютера, панели оргтехники общего использования, экран смартфона, пульты, дверные ручки и поручни). Носите с собой одноразовые салфетки и всегда прикрывайте нос и рот, когда вы кашляете или чихаете. Не ешьте еду (орешки, чипсы, печенье и другие снеки) из общих упаковок или посуды, если другие люди погружали в них свои пальцы. Часто проветривайте помещения.",
5,5,17.03.2021 22:08,А,М,5,ru,Яж не инструкцию запрашивал)) Всю ли пишу и упаковки из магазина ты чистишь?,"Не совсем понимаю, о чём ты.",
5,5,17.03.2021 22:20,А,М,5,ru,Как отдыхаешь в это непростое время?,Данная информация постоянно обновляется. Можно ознакомиться тут: https://samokatus.ru/karta-otrkytyh-granits/,
5,5,17.03.2021 22:22,А,М,5,ru,"А повседневном ритме жизни, если не говорить про путешествия?","Предлагаю обсудить вопросы, связанные с COVID-19.",
5,5,17.03.2021 22:23,А,М,5,ru,Что думаешь про прививку от ковида?,"Существует три вакцины против COVID?19, одобренные к использованию национальными регулирующими органами",
5,5,17.03.2021 22:26,А,М,5,ru,Где какую нибудь из них можно поставить?,Прививки ставят бесплатно по полису обязательного медстрахования. Вакцину вводят в два этапа с интервалом в три недели. Записаться на вакцинацию можно в вашей поликлинике или на сайте «Госуслуги»,
5,5,17.03.2021 22:28,А,М,5,ru,И что со мной будет?,"Не совсем понимаю, о чём ты.",
5,5,17.03.2021 22:30,А,М,5,ru,Привика безопасна для меня будет или есть опасения?,"В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
5,5,17.03.2021 22:31,А,М,5,ru,"Начальник хочет отправить меня в командировку, безопасно ли?","В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
5,5,17.03.2021 22:34,А,М,5,ru,"Что будет если у меня есть антитела, но поставлю прививку?","Антитела — это белки, вырабатываемые иммунной системой в ответ на проникновение возбудителя. Именно по ним определяют стадию развития инфекции. Также по ним  контролируют течение заболевания.",
5,5,17.03.2021 22:35,А,М,5,ru,"А если я не знаю болел ли ковидом, но хочу сделать прививку, это ок, безопасно?",Прививки ставят бесплатно по полису обязательного медстрахования. Вакцину вводят в два этапа с интервалом в три недели. Записаться на вакцинацию можно в вашей поликлинике или на сайте «Госуслуги»,
,,,,,,,,,
6,6,19.03.2021 20:05,А,Н,6,ru,Чем опасен вирус?,Коронавирус — это подмножество ОРВИ.,
6,6,19.03.2021 20:06,А,Н,6,ru,Сколько старых людей пережили вакцину?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
6,6,19.03.2021 20:06,А,Н,6,ru,Какое количество заразившихся человек было выявлено суммарно за весь период пандемии?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
6,6,19.03.2021 20:08,А,Н,6,ru,Какое количество врачей заразилось короной?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
6,6,19.03.2021 20:09,А,Н,6,ru,Какое количество врачей погибло от короны?,"У некоторых пациентов с перенесенной COVID-19 независимо от того, потребовалась ли им госпитализация или нет, сохраняются различные симптомы болезни, в том числе утомляемость, респираторные и неврологические нарушения",
6,6,19.03.2021 20:11,А,Н,6,ru,"Очень интересно, но не все понятно. Давай обсудим вакцину","Существует три вакцины против COVID?19, одобренные к использованию национальными регулирующими органами.",
6,6,19.03.2021 20:12,А,Н,6,ru,Вакцина доступна для всех?,"Существует три вакцины против COVID?19, одобренные к использованию национальными регулирующими органами.",
6,6,19.03.2021 20:13,А,Н,6,ru,Что? Где поставить вакцину?,Прививки ставят бесплатно по полису обязательного медстрахования. Вакцину вводят в два этапа с интервалом в три недели. Записаться на вакцинацию можно в вашей поликлинике или на сайте «Госуслуги»,
6,6,19.03.2021 20:15,А,Н,6,ru,"Если я переболел, нужно ли сдать кровь на антитела перед прививкой?","Это необязательно, потому что, даже если антитела присутствуют в организме, введение вакцины безопасно",
6,6,19.03.2021 20:17,А,Н,6,ru,"Слышал, что были летальные исходы после вакцины, это правда?","Смерть добровольцев в ходе клинических испытаний вакцин не должна настораживать – это лишь случайное стечение обстоятельств, уверены врачи.",
6,6,19.03.2021 20:20,А,Н,6,ru,То есть вакцина абсалютно безопасна?,"В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
,,,,,,,,,
7,7,19.03.2021 20:44,В,Ш,7,ru,Ты болел?,Моя болезнь прошла практически бессимптомно.,
7,7,19.03.2021 20:44,В,Ш,7,ru,"Я сдавал тест 3 раза, потому что думал, что болею, всегда были отрицательные. Тесты всегда точны?",Примерно в 30% случаев тест на коронавирус может показать ложноотрицательный результат из-за неправильного отбора биоматериала у человека.  Поэтому существует шанс получить ложноотрицательный результат. Можно попробовать сдать тест на антитела.,
7,7,19.03.2021 20:46,В,Ш,7,ru,Когда  должны появиться антитела и сколько они будут в организме?,"Антитела IgA. Образуются на ранней стадии заболевания в слизистых оболочках в ответ на местное воздействие инфекции. Они не формируют клеточную память, поэтому в формировании устойчивого иммунитета не участвуют. Антитела IgM. Иммуноглобулины этого класса первыми появляются в крови в ответ на внедрение чужеродного антигена в организм. Они тоже не формируют длительного иммунитета. Зато по наличию антител IgA и IgM можно определить. что заболевание находится в активной фазе (даже если внешние симптомы отсутствуют).  Антитела IgG. Отвечают за длительную защиту организма после перенесенных инфекционных заболеваний и обеспечивают основной иммунный ответ. Уровень антител IgG повышается медленнее и достигает стабильного уровня в среднем через 15-20 дней после начала заболевания.",
7,7,19.03.2021 20:50,В,Ш,7,ru,Сколько сейчас стоят тесты?,"В поликлинике по месту жительства тест на коронавирус можно сдать бесплатно, стоимость в частной клинике теста на коронавирус варьируется от выбранного метода тестирования.",
7,7,19.03.2021 20:53,В,Ш,7,ru,Сколько вакцин допущено к использованию и безопасны ли они?,"Существует три вакцины против COVID?19, одобренные к использованию национальными регулирующими органами.",
7,7,19.03.2021 20:54,В,Ш,7,ru,"Хочешь сказать,что вакцины безопасны? Есть сомнения","В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
7,7,19.03.2021 20:56,В,Ш,7,ru,"Ну такое. Слышал, что вакцина ставится в два этапа. Зачем нужен второй этап?","По норме должен пройти 21 день, потому что вам ввели антиген. Иммунный ответ идет бурно, а потом опускается на плато, восстанавливается система выработки иммунитета. Ставить вторую дозу вакцины раньше установленного в 21 день срока не стоит — например, через две недели иммунитет ослаблен. Если привиться позже срока, например, через месяц, вреда для организма будет меньше. Заново начинать вакцинацию не придется.",
7,7,19.03.2021 20:57,В,Ш,7,ru,При хронических заболеваниях возможен вред организму от прививки?,"Среди противопоказаний для лиц с хроническими заболеваниями — их обострения. Чтобы привиться, нужно пройти терапию и выйти в состояние ремиссии. Также нельзя прививаться при острых состояниях — насморке, температуре и прочем. Если после введения первой дозы были осложнения, то вторую вам никто не сделает.",
7,7,19.03.2021 21:01,В,Ш,7,ru,Много прививок уже поставлено?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
,,,,,,,,,
8,8,19.03.2021 21:29,Е,В,8,ru,Где возник коронавирус и можно ли было избежать его последствий?,"COVID-19 — заболевание, вызываемое новым коронавирусом, который называется SARS-CoV-2. ВОЗ впервые узнала об этом новом вирусе ВОЗ 31 декабря 2019 г., получив сообщение о группе случаев заболевания «вирусной пневмонией» в городе Ухане, Китайская Народная Республика.",
8,8,19.03.2021 21:31,Е,В,8,ru,Была ли возможность избежать возникновения коронавируса?,"Научное сообщество имело представление о пандемическом потенциале высокопереносимого, умеренно вирулентного патогена. Но текущая система регистрации заболеваний зависит от обнаружения всплесков госпитализаций и смертей. Очевидно, что этого было недостаточно, чтобы остановить COVID-19",
8,8,19.03.2021 21:32,Е,В,8,ru,Почему не остановили распространение в самом начале?,"Научное сообщество имело представление о пандемическом потенциале высокопереносимого, умеренно вирулентного патогена. Но текущая система регистрации заболеваний зависит от обнаружения всплесков госпитализаций и смертей. Очевидно, что этого было недостаточно, чтобы остановить COVID-19",
8,8,19.03.2021 21:34,Е,В,8,ru,Кто больше всего предрасположен к заболеванию?,"старше 65 лет; с сопутствующими заболеваниями и состояниями;  пациенты,проживающие в общежитии, многонаселенной квартире, с лицами старше 65 лет,лицами, страдающими хроническими заболеваниями бронхолегочной, сердечно сосудистой и эндокринной систем.",
8,8,19.03.2021 21:36,Е,В,8,ru,Какие меры следует соблюдать чтобы снизить риск заражения вирусом?,"Самое важное, что можно сделать, чтобы защитить себя, — это соблюдать правила личной гигиены и сократить посещения общественных и людных мест. Держите руки в чистоте, часто мойте их водой с мылом или используйте дезинфицирующее средство. Старайтесь не касаться рта, носа или глаз немытыми руками (обычно такие прикосновения неосознанно свершаются нами в среднем 15 раз в час). На работе регулярно очищайте поверхности и устройства, к которым вы прикасаетесь (клавиатура компьютера, панели оргтехники общего использования, экран смартфона, пульты, дверные ручки и поручни). Носите с собой одноразовые салфетки и всегда прикрывайте нос и рот, когда вы кашляете или чихаете. Не ешьте еду (орешки, чипсы, печенье и другие снеки) из общих упаковок или посуды, если другие люди погружали в них свои пальцы. Часто проветривайте помещения.",
8,8,19.03.2021 21:41,Е,В,8,ru,"Вакцины, которые используют сейчас прошли все испытания и они могут считать безопасными для людей?",С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
8,8,19.03.2021 21:42,Е,В,8,ru,Испытания над вакцинами закончены?,"Эксперты ВОЗ говорили, что будут считать успешной любую вакцину, эффективность которой превысит 70%. Американские власти сообщали о готовности закупать препараты, дающие хотя бы 50-процентую защиту от вируса (примерно такую эффективность имеет вакцина от гриппа). В Европейском медицинском агентстве намекали, что готовы рассмотреть даже менее эффективные",
8,8,19.03.2021 21:43,Е,В,8,ru,Эксперты могут гарантировать безопасность вакцины?,"В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
8,8,19.03.2021 21:45,Е,В,8,ru,Какая из заявленных в мире вакцин наиболее действенная и имеет минимальные негативные последствия для организма?,"Эффективность российской вакцины от коронавируса «Cпутник V» на 42-й день после первой инъекции превысила 95%, говорится в пресс-релизе Российского фонда прямых инвестиций (РФПИ). Такие выводы сделаны по итогам второго промежуточного анализа данных клинического исследования вакцины.",
8,8,19.03.2021 21:47,Е,В,8,ru,Почему люди не хотят ставить прививку от коронавируса?,"Люди беспокоятся о том, что недостаточно известно о долгосрочных эффектах вакцины, о возможных побочных эффектах, безопасности и эффективности.  В различных соцсетях и мессенджерах популярностью пользуются посты с конспирологическими теориями о происхождении коронавируса и вреде вакцины от него.",
8,8,19.03.2021 21:48,Е,В,8,ru,Когда этот коронавирус закончится!?,На этот вопрос нет точного ответа. Главное соблюдать меры личной гигиены.,
,,,,,,,,,
9,9,20.03.2021 19:16,С,Ч,9,ru,"Вечер добрый,  почему ковид распространялся достаточно быстро?","Передается главным образом воздушно-капельным путем в результате вдыхания капель, выделяемых из дыхательных путей больного, например при кашле или чихании, а также капель слюны или выделений из носа. Также он может распространяться, когда больной касается любой загрязненной поверхности, например дверной ручки. В этом случае заражение происходит при касании рта, носа или глаз грязными руками.",
9,9,20.03.2021 19:17,С,Ч,9,ru,И как я могу защитить себя в сложившейся ситуации?,"Самое важное, что можно сделать, чтобы защитить себя, — это соблюдать правила личной гигиены и сократить посещения общественных и людных мест. Держите руки в чистоте, часто мойте их водой с мылом или используйте дезинфицирующее средство. Старайтесь не касаться рта, носа или глаз немытыми руками (обычно такие прикосновения неосознанно свершаются нами в среднем 15 раз в час). На работе регулярно очищайте поверхности и устройства, к которым вы прикасаетесь (клавиатура компьютера, панели оргтехники общего использования, экран смартфона, пульты, дверные ручки и поручни). Носите с собой одноразовые салфетки и всегда прикрывайте нос и рот, когда вы кашляете или чихаете. Не ешьте еду (орешки, чипсы, печенье и другие снеки) из общих упаковок или посуды, если другие люди погружали в них свои пальцы. Часто проветривайте помещения.",
9,9,20.03.2021 19:20,С,Ч,9,ru,"Я уже переболел, могу не соблюдать? Могу заразиться второй раз?","Теоретически человек может заболеть COVID-19 второй раз, но сейчас эту идею разделяют далеко не все.",
9,9,20.03.2021 19:22,С,Ч,9,ru,"Когда был режим пандемии, врачи приезжали долго. Сколько времени сейчас нужно ожидать врача?","По законодательству врач, вызванный на дом, должен прийти в течение 24 часов.",
